epochs,MAE,MRSTFT
502,0.00283283,0.026494381
503,0.002298602,0.006858201
504,0.002046194,0.009682819
505,0.004038449,0.027528191
506,0.005099672,0.033090089
507,0.001555095,0.008048307
508,0.008820619,0.054241788
509,0.010139807,0.070855747
510,0.009888798,0.068401794
511,0.007370448,0.059138077
512,0.001472648,0.015621005
513,0.002867942,0.015252804
514,0.001792437,0.006067595
515,0.003193763,0.019790003
516,0.002524452,0.009917717
517,0.00395503,0.037346307
518,0.002847364,0.027105503
519,0.002749482,0.023592048
520,0.001304137,0.01008842
521,0.00687513,0.062432791
522,0.003951179,0.032270651
523,0.006596874,0.060452556
524,0.001755921,0.016081738
525,0.004450005,0.038818495
526,0.004194386,0.040324902
527,0.001707129,0.015555984
528,0.008676258,0.071072028
529,0.004621936,0.031116406
530,0.004218212,0.041231695
531,0.003641109,0.03719599
532,0.004929253,0.033443096
533,0.006427397,0.064080801
534,0.007980488,0.071167806
535,0.00180229,0.017196618
536,0.00298081,0.031168038
537,0.003450156,0.035354527
538,0.003642091,0.032288132
539,0.002093235,0.020459623
540,0.00184791,0.018630713
541,0.003897178,0.035638
542,0.005354965,0.04824893
543,0.007978333,0.066093341
544,0.002653465,0.02787977
545,0.00176404,0.017000707
546,0.00444414,0.044826091
547,0.001698913,0.014386282
548,0.002424228,0.018065263
549,0.004293908,0.033057506
550,0.001526597,0.013926044
551,0.004000396,0.035411704
552,0.003413752,0.028554412
553,0.001595507,0.014243513
554,0.001174488,0.007838913
555,0.003620391,0.036345611
556,0.002797129,0.027356533
557,0.002762643,0.02112232
558,0.002459831,0.019813331
559,0.001792602,0.009004081
560,0.002052442,0.016719936
561,0.002461488,0.017116872
562,0.004169432,0.039429322
563,0.005385469,0.037906095
564,0.002007838,0.019853703
565,0.003162378,0.019986457
566,0.002030856,0.018118314
567,0.003585249,0.029167683
568,0.004735823,0.034523525
569,0.003949737,0.026237179
570,0.003207408,0.011776014
571,0.002804443,0.008157642
572,0.005643867,0.048218843
573,0.00307037,0.028280012
574,0.002346961,0.012309216
575,0.00246444,0.022185964
576,0.002330073,0.010387909
577,0.002357416,0.020872475
578,0.001989618,0.011600299
579,0.002144171,0.014016455
580,0.002444539,0.024563065
581,0.006736852,0.056450931
582,0.002123852,0.015420012
583,0.00181922,0.015803173
584,0.003310092,0.034506077
585,0.0010196,0.010010481
586,0.002549778,0.022305595
587,0.00166818,0.015542957
588,0.002388391,0.022703086
589,0.003195641,0.029754434
590,0.001179909,0.010810266
591,0.002219045,0.017292278
592,0.003726331,0.02704742
593,0.002498335,0.017179831
594,0.002129563,0.018850178
595,0.002387894,0.020616187
596,0.001778399,0.016910327
597,0.002543346,0.018725656
598,0.001733674,0.014814055
599,0.005040631,0.042805108
600,0.00151684,0.008781745
601,0.002014336,0.012946948
602,0.000659087,0.006055724
603,0.001533143,0.009153082
604,0.000995033,0.002438212
605,0.002393907,0.023734916
606,0.001131529,0.006212026
607,0.005193116,0.028105601
608,0.002616932,0.016646879
609,0.002329214,0.018380156
610,0.001854047,0.008432227
611,0.000957034,0.006915706
612,0.000691145,0.006546185
613,0.002478494,0.006216865
614,0.005269605,0.02791188
615,0.00221719,0.015013653
616,0.002449288,0.015313883
617,0.002694377,0.027920481
618,0.001176607,0.003284671
619,0.002225206,0.020145341
620,0.00411356,0.035968948
621,0.002719751,0.021842223
622,0.003469818,0.02273379
623,0.002424694,0.018927404
624,0.001057073,0.008203881
625,0.001375076,0.010002642
626,0.001704017,0.009873497
627,0.003144472,0.019491764
628,0.002499187,0.013431429
629,0.00224977,0.011046395
630,0.001183315,0.006212194
631,0.00124029,0.009839221
632,0.001329408,0.008832145
633,0.001270206,0.012451539
634,0.002245347,0.017060421
635,0.001097732,0.009449341
636,0.000532048,0.003726144
637,0.003223537,0.019774197
638,0.002549553,0.019198701
639,0.002884968,0.019792015
640,0.002879541,0.006748261
641,0.002258921,0.01600646
642,0.003253548,0.022686755
643,0.003497282,0.014738478
644,0.002763526,0.017715826
645,0.004470153,0.033283415
646,0.002971854,0.013330369
647,0.00116245,0.010000354
648,0.003259634,0.020625247
649,0.006028113,0.030302496
650,0.00424679,0.007531952
651,0.002964083,0.02614782
652,0.003968036,0.016452721
653,0.005725882,0.028116931
654,0.003648649,0.021919821
655,0.001717725,0.008152473
656,0.0034907,0.014801608
657,0.002833808,0.009882594
658,0.000902047,0.007393279
659,0.00385546,0.024857247
660,0.004168776,0.020663647
661,0.005490381,0.03300151
662,0.002940948,0.013864658
663,0.0005235,0.004688548
664,0.002469407,0.011147461
665,0.002317356,0.015540806
666,0.003024439,0.025842386
667,0.003278717,0.020451515
668,0.002339303,0.012158629
669,0.00418179,0.038156268
670,0.001033081,0.007666372
671,0.001275403,0.007585287
672,0.001869058,0.015366938
673,0.005404404,0.038557638
674,0.001604967,0.004335365
675,0.001646518,0.012793899
676,0.0019456,0.016683334
677,0.002330314,0.016128964
678,0.001500581,0.013456313
679,0.002151652,0.017591558
680,0.001554404,0.010639921
681,0.002082951,0.017589544
682,0.002132959,0.016193035
683,0.001660337,0.011992343
684,0.00075513,0.006619587
685,0.000382704,0.003247244
686,0.002588358,0.023818845
687,0.008262257,0.063927083
688,0.002061727,0.016019428
689,0.00195772,0.016232047
690,0.002227613,0.019956204
691,0.00312441,0.024962805
692,0.000716054,0.007525399
693,0.0030186,0.024259711
694,0.001717713,0.008761077
695,0.001095514,0.010899529
696,0.002421694,0.012372945
697,0.002902517,0.012389244
698,0.000712181,0.004208268
699,0.002561385,0.009953261
700,0.003765407,0.018340173
701,0.003340848,0.022436517
702,0.000798606,0.007957862
703,0.002251029,0.012685023
704,0.001985886,0.016517565
705,0.001338176,0.013341923
706,0.001429956,0.009118565
707,0.000766782,0.008055939
708,0.001304257,0.006961875
709,0.001401235,0.012336422
710,0.001594589,0.01508494
711,0.001607633,0.012311296
712,0.002449632,0.017365431
713,0.002205046,0.018678065
714,0.001407661,0.013282883
715,0.000554523,0.005823332
716,0.000607337,0.005883226
717,0.001744955,0.014660038
718,0.007251686,0.057948013
719,0.000800006,0.007223265
720,0.001439086,0.010656432
721,0.000895636,0.003659948
722,0.003155645,0.01997301
723,0.004069492,0.033692269
724,0.000859901,0.006069956
725,0.001972152,0.015933274
726,0.002571756,0.020147466
727,0.001270387,0.010315815
728,0.002204377,0.014512596
729,0.002328654,0.019042451
730,0.001469396,0.010223697
731,0.002570005,0.01981226
732,0.000900503,0.006938824
733,0.003354978,0.028952943
734,0.001967908,0.008840844
735,0.002410911,0.016599671
736,0.000842739,0.007011105
737,0.001196337,0.006375904
738,0.001110576,0.010632468
739,0.001387132,0.010867482
740,0.00082091,0.007630834
741,0.001529657,0.013610619
742,0.000709897,0.005579602
743,0.002952353,0.02220263
744,0.002383152,0.011103605
745,0.001673576,0.01327118
746,0.002418074,0.013240156
747,0.002794594,0.009010304
748,0.001565528,0.007541072
749,0.001797979,0.008742378
750,0.002362403,0.011534538
751,0.001539752,0.01147524
752,0.001754488,0.008514115
753,0.002570417,0.012917629
754,0.001327305,0.010871938
755,0.001958772,0.014175486
756,0.004577004,0.034844841
757,0.00369538,0.034792695
758,0.002262018,0.021253301
759,0.003520512,0.017378396
760,0.005529914,0.044712292
761,0.003028954,0.02729206
762,0.002059985,0.015240543
763,0.004053954,0.030686066
764,0.002235357,0.013228382
765,0.00123506,0.009241725
766,0.006914635,0.065441292
767,0.002719389,0.020778169
768,0.000655245,0.003400875
769,0.002714651,0.02081736
770,0.003550678,0.030626107
771,0.002061463,0.017739199
772,0.002445259,0.013839272
773,0.00396196,0.025928083
774,0.00289878,0.026484575
775,0.001237652,0.011007563
776,0.001636512,0.00977699
777,0.002854677,0.020449161
778,0.002984158,0.023829779
779,0.002477732,0.020704332
780,0.002632895,0.017011489
781,0.002895147,0.024114662
782,0.002128665,0.016602819
783,0.001325177,0.008368563
784,0.001670769,0.013244773
785,0.001926215,0.015399789
786,0.008003394,0.082024761
787,0.004785015,0.033889803
788,0.001696237,0.007926055
789,0.00105511,0.008444521
790,0.000341886,0.002432688
791,0.001682129,0.008198861
792,0.001641296,0.012157454
793,0.001255568,0.006603946
794,0.00160021,0.014303822
795,0.003056339,0.029533245
796,0.001432331,0.011121372
797,0.000931956,0.004935235
798,0.001572714,0.010521974
799,0.007657629,0.058347394
800,0.002201973,0.015517681
801,0.002001064,0.01747002
802,0.002168267,0.021654526
803,0.000935162,0.008000672
804,0.001599848,0.013544041
805,0.001337525,0.009065634
